,model,country_code,country,region,income group,scraped_date,model_en,price_local_currency,Currency CodeA,X,USD_Normalized,USD_Normalized_MEAN,Land,HDI,Life expactancy at birth in years,Mean years of schooling in years,Gross national income (GNI) per capita in US$,IHDI,Inequality in life expectancy in%,Inequality in education in %,Inequality in income in %,Income Shares of top 1%,Income Shares of top 1%,GINI,Gender Inequality Index,Maternal mortality ratio per 100.000,Share of female seats in parliament in %,Employment to population ratio,Employment in agriculture in % ,Employment in services in %,Unemployment in %,Child labour in %,Working poor at PPP$3.20 a day in %,High-skill to low-skill ratio,Prison population per 100.000,Homocide rate per 100.000,Suicide rate (female) per 100.000,Suicide rate (male) per 100.000,Internet User in %,Mobile phone subscriptions per 100 people
0,iPhone SE,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,iPhone SE,679.0,AUD,1.3861900568008425,489.8318211624235,450.67000924537723,Australia,0.944,83.44,12.72469119,48084.84207,0.867,3.7,2.7,17.3,27,9.0700001,34.4,0.097,6,36.56387665,62.067,2.56,77.635,5.268,NaN,NaN,5.779898839785169,172.6,0.891632403,6,17.4,86.545,113.579
1,iPhone 12,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,iPhone 12,999.0,AUD,1.3861900568008425,720.6803966734332,450.67000924537723,Australia,0.944,83.44,12.72469119,48084.84207,0.867,3.7,2.7,17.3,27,9.0700001,34.4,0.097,6,36.56387665,62.067,2.56,77.635,5.268,NaN,NaN,5.779898839785169,172.6,0.891632403,6,17.4,86.545,113.579
2,AirPods Pro,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,AirPods Pro,399.0,AUD,1.3861900568008425,287.83931759029014,450.67000924537723,Australia,0.944,83.44,12.72469119,48084.84207,0.867,3.7,2.7,17.3,27,9.0700001,34.4,0.097,6,36.56387665,62.067,2.56,77.635,5.268,NaN,NaN,5.779898839785169,172.6,0.891632403,6,17.4,86.545,113.579
3,AirPods(2nd generation),AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,AirPods(2nd generation),219.0,AUD,1.3861900568008425,157.98699386534722,450.67000924537723,Australia,0.944,83.44,12.72469119,48084.84207,0.867,3.7,2.7,17.3,27,9.0700001,34.4,0.097,6,36.56387665,62.067,2.56,77.635,5.268,NaN,NaN,5.779898839785169,172.6,0.891632403,6,17.4,86.545,113.579
4,Apple TV 4K,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Apple TV 4K,249.0,AUD,1.3861900568008425,179.62904781950436,450.67000924537723,Australia,0.944,83.44,12.72469119,48084.84207,0.867,3.7,2.7,17.3,27,9.0700001,34.4,0.097,6,36.56387665,62.067,2.56,77.635,5.268,NaN,NaN,5.779898839785169,172.6,0.891632403,6,17.4,86.545,113.579
5,Apple Watch SE,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Apple Watch SE,429.0,AUD,1.3861900568008425,309.48137154444726,450.67000924537723,Australia,0.944,83.44,12.72469119,48084.84207,0.867,3.7,2.7,17.3,27,9.0700001,34.4,0.097,6,36.56387665,62.067,2.56,77.635,5.268,NaN,NaN,5.779898839785169,172.6,0.891632403,6,17.4,86.545,113.579
6,Apple Watch Series 3,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Apple Watch Series 3,299.0,AUD,1.3861900568008425,215.6991377430996,450.67000924537723,Australia,0.944,83.44,12.72469119,48084.84207,0.867,3.7,2.7,17.3,27,9.0700001,34.4,0.097,6,36.56387665,62.067,2.56,77.635,5.268,NaN,NaN,5.779898839785169,172.6,0.891632403,6,17.4,86.545,113.579
7,Sport Band,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Sport Band,69.0,AUD,1.3861900568008425,49.77672409456145,450.67000924537723,Australia,0.944,83.44,12.72469119,48084.84207,0.867,3.7,2.7,17.3,27,9.0700001,34.4,0.097,6,36.56387665,62.067,2.56,77.635,5.268,NaN,NaN,5.779898839785169,172.6,0.891632403,6,17.4,86.545,113.579
8,iPad,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,iPad,499.0,AUD,1.3861900568008425,359.97949743748063,450.67000924537723,Australia,0.944,83.44,12.72469119,48084.84207,0.867,3.7,2.7,17.3,27,9.0700001,34.4,0.097,6,36.56387665,62.067,2.56,77.635,5.268,NaN,NaN,5.779898839785169,172.6,0.891632403,6,17.4,86.545,113.579
9,iPad Pro,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,iPad Pro,1199.0,AUD,1.3861900568008425,864.9607563678142,450.67000924537723,Australia,0.944,83.44,12.72469119,48084.84207,0.867,3.7,2.7,17.3,27,9.0700001,34.4,0.097,6,36.56387665,62.067,2.56,77.635,5.268,NaN,NaN,5.779898839785169,172.6,0.891632403,6,17.4,86.545,113.579
