,pid,country_code,country,region,income group,scraped_date,model_en,price2,price_local_currency,Currency CodeA,X,USD_Normalized,USD_Normalized_MEAN
0,1,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,iPhone SE,679,679.0,AUD,1.3861900568008425,489.8318211624235,450.67000924537723
1,2,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,iPhone 12,999,999.0,AUD,1.3861900568008425,720.6803966734332,450.67000924537723
2,4,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,AirPods Pro,399,399.0,AUD,1.3861900568008425,287.83931759029014,450.67000924537723
3,5,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,AirPods(2nd generation),219,219.0,AUD,1.3861900568008425,157.98699386534722,450.67000924537723
4,7,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Apple TV 4K,249,249.0,AUD,1.3861900568008425,179.62904781950436,450.67000924537723
5,8,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Apple Watch SE,429,429.0,AUD,1.3861900568008425,309.48137154444726,450.67000924537723
6,9,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Apple Watch Series 3,299,299.0,AUD,1.3861900568008425,215.6991377430996,450.67000924537723
7,10,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Sport Band,69,69.0,AUD,1.3861900568008425,49.77672409456145,450.67000924537723
8,11,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,iPad,499,499.0,AUD,1.3861900568008425,359.97949743748063,450.67000924537723
9,12,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,iPad Pro,"1,199",1199.0,AUD,1.3861900568008425,864.9607563678142,450.67000924537723
10,13,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Apple Pencil (2nd generation),199,199.0,AUD,1.3861900568008425,143.55895789590912,450.67000924537723
11,14,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,24-inch iMac,"1,899",1899.0,AUD,1.3861900568008425,1369.9420152981477,450.67000924537723
12,15,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,MacBook Air,"1,499",1499.0,AUD,1.3861900568008425,1081.3812959093857,450.67000924537723
13,16,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Magic Mouse,109,109.0,AUD,1.3861900568008425,78.63279603343766,450.67000924537723
14,1,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,iPhone SE,479,479.0,EUR,0.8845999836921692,541.4876880290409,517.4251573054122
15,2,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,iPhone 12,679,679.0,EUR,0.8845999836921692,767.5785807342772,517.4251573054122
16,4,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,AirPods Pro,279,279.0,EUR,0.8845999836921692,315.3967953238046,517.4251573054122
17,5,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,AirPods(2nd generation),149,149.0,EUR,0.8845999836921692,168.43771506540105,517.4251573054122
18,8,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,Apple TV 4K,199,199.0,EUR,0.8845999836921692,224.9604382417101,517.4251573054122
19,9,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,Apple Watch SE,299,299.0,EUR,0.8845999836921692,338.0058845943283,517.4251573054122
20,10,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,Apple Watch Series 3,219,219.0,EUR,0.8845999836921692,247.56952751223375,517.4251573054122
21,11,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,Sport Band,49,49.0,EUR,0.8845999836921692,55.392268712782894,517.4251573054122
22,12,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,iPad,379,379.0,EUR,0.8845999836921692,428.4422416764228,517.4251573054122
23,13,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,iPad Pro,879,879.0,EUR,0.8845999836921692,993.6694734395135,517.4251573054122
24,14,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,Apple Pencil (2nd generation),135,135.0,EUR,0.8845999836921692,152.6113525760345,517.4251573054122
25,15,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,24-inch iMac,1.449,1449.0,EUR,0.8845999836921692,1638.028517649437,517.4251573054122
26,16,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,MacBook Air,1.129,1129.0,EUR,0.8845999836921692,1276.283089321059,517.4251573054122
27,17,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,Magic Mouse,85,85.0,EUR,0.8845999836921692,96.08862939972542,517.4251573054122
28,1,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,iPhone SE,479,479.0,EUR,0.8845999836921692,541.4876880290409,517.4251573054122
29,2,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,iPhone 12,679,679.0,EUR,0.8845999836921692,767.5785807342772,517.4251573054122
30,4,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,AirPods Pro,279,279.0,EUR,0.8845999836921692,315.3967953238046,517.4251573054122
31,5,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,AirPods(2nd generation),149,149.0,EUR,0.8845999836921692,168.43771506540105,517.4251573054122
32,7,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,Apple TV 4K,199,199.0,EUR,0.8845999836921692,224.9604382417101,517.4251573054122
33,8,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,Apple Watch SE,299,299.0,EUR,0.8845999836921692,338.0058845943283,517.4251573054122
34,9,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,Apple Watch Series 3,219,219.0,EUR,0.8845999836921692,247.56952751223375,517.4251573054122
35,10,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,Sport Band,49,49.0,EUR,0.8845999836921692,55.392268712782894,517.4251573054122
36,11,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,iPad,379,379.0,EUR,0.8845999836921692,428.4422416764228,517.4251573054122
37,12,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,iPad Pro,879,879.0,EUR,0.8845999836921692,993.6694734395135,517.4251573054122
38,13,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,Apple Pencil (2nd generation),135,135.0,EUR,0.8845999836921692,152.6113525760345,517.4251573054122
