,pid,model,price,country_code,country,region,income group,scraped_date,model_en,price2,price_local_currency
1,1,iPhone SE,From A$679,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,iPhone SE,679,679.0
2,2,iPhone 12,From A$999,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,iPhone 12,999,999.0
4,4,AirPods Pro,A$399,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,AirPods Pro,399,399.0
5,5,AirPods(2nd generation),A$219,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,AirPods(2nd generation),219,219.0
7,7,Apple TV 4K,A$249,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Apple TV 4K,249,249.0
8,8,Apple Watch SE,From A$429,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Apple Watch SE,429,429.0
9,9,Apple Watch Series 3,From A$299,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Apple Watch Series 3,299,299.0
10,10,Sport Band,A$69,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Sport Band,69,69.0
11,11,iPad,From A$499,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,iPad,499,499.0
12,12,iPad Pro,"From A$1,199",AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,iPad Pro,"1,199",1199.0
13,13,Apple Pencil (2nd generation),A$199,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Apple Pencil (2nd generation),199,199.0
14,14,24-inch iMac²,"From A$1,899",AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,24-inch iMac,"1,899",1899.0
15,15,MacBook Air,"From A$1,499",AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,MacBook Air,"1,499",1499.0
16,16,Magic Mouse,A$109,AU,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535,Magic Mouse,109,109.0
18,1,iPhone SE,Ab 479 €,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,iPhone SE,479,479.0
19,2,iPhone 12,Ab 679 €,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,iPhone 12,679,679.0
21,4,AirPods Pro,279 €,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,AirPods Pro,279,279.0
22,5,AirPods(2. Generation),149 €,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,AirPods(2nd generation),149,149.0
25,8,Apple TV 4K,199 €,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,Apple TV 4K,199,199.0
26,9,Apple Watch SE,Ab 299 €,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,Apple Watch SE,299,299.0
27,10,Apple Watch Series 3,Ab 219 €,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,Apple Watch Series 3,219,219.0
28,11,Sportarmband,49 €,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,Sport Band,49,49.0
29,12,iPad,Ab 379 €,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,iPad,379,379.0
30,13,iPad Pro,Ab 879 €,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,iPad Pro,879,879.0
31,14,Apple Pencil (2. Generation),135 €,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,Apple Pencil (2nd generation),135,135.0
32,15,"24"" iMac²",Ab 1.449 €,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,24-inch iMac,1.449,1449.0
33,16,MacBook Air,Ab 1.129 €,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,MacBook Air,1.129,1129.0
34,17,Magic Mouse,85 €,AT,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491,Magic Mouse,85,85.0
36,1,iPhone SE,A partir de R$ 3.699,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,iPhone SE,3.699,3699.0
37,2,iPhone 12,A partir de R$ 5.699,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,iPhone 12,5.699,5699.0
38,3,AirPods Pro,R$ 2.999,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,AirPods Pro,2.999,2999.0
39,4,AirPods(2ª geração),R$ 1.649,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,AirPods(2nd generation),1.649,1649.0
41,6,Apple TV 4K,R$ 2.399,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,Apple TV 4K,2.399,2399.0
42,7,Apple Watch SE,A partir de R$ 3.799,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,Apple Watch SE,3.799,3799.0
