,Land,HDI,Life expactancy at birth in years,Mean years of schooling in years,Gross national income (GNI) per capita in US$
0,Norway,0.957,82.4,12.89775,66494.25217
1,Ireland,0.955,82.31,12.6663305,68370.58737
2,Switzerland,0.955,83.78,13.38081241,69393.52076
3,"Hong Kong, China (SAR)",0.949,84.86,12.27996,62984.76553
4,Iceland,0.949,82.99,12.77278684,54682.38057
5,Germany,0.947,81.33,14.15168,55314.35355
6,Sweden,0.945,82.8,12.54847,54507.80504
7,Australia,0.944,83.44,12.72469119,48084.84207
8,Netherlands,0.944,82.28,12.4148,57707.06867
9,Denmark,0.94,80.9,12.61380326,58661.87084
10,Finland,0.938,81.91,12.82413,48511.3978
11,Singapore,0.938,83.62,11.62461,88155.21431
12,United Kingdom,0.932,81.32,13.24287,46070.64481
13,Belgium,0.931,81.63,12.05027,52084.59209
14,New Zealand,0.931,82.29,12.78207732,40798.7196
15,Canada,0.929,82.43,13.36610479,48527.03573
16,United States,0.926,78.86,13.41344,63825.65748
17,Austria,0.922,81.54,12.5461436,56196.89869
18,Israel,0.919,82.97,13.0348541,40186.84583
19,Japan,0.919,84.63,12.85,42931.69575
20,Liechtenstein,0.919,80.67,12.53854,131031.5898
21,Slovenia,0.917,81.32,12.65874,38079.53399
22,Korea (Republic of),0.916,83.03,12.21376462,43043.71057
23,Luxembourg,0.916,82.25,12.31145,72711.67412
24,Spain,0.904,83.57,10.25178,40974.52408
25,France,0.901,82.66,11.4795,47172.53748
26,Czechia,0.9,79.38,12.72238228,38108.56662
27,Malta,0.895,82.53,11.32613,39554.52078
28,Estonia,0.892,78.75,13.14306146,36019.26692
29,Italy,0.892,83.51,10.37955,42776.35692
30,United Arab Emirates,0.89,77.97,12.11122,67462.0953
31,Greece,0.888,82.24,10.55207,30154.63438
32,Cyprus,0.887,80.98,12.17123,38206.84049
33,Lithuania,0.882,75.93,13.07721,35798.67041
34,Poland,0.88,78.73,12.47232,31622.55302
35,Andorra,0.868,81.91,10.50176,56000.30336
36,Latvia,0.866,75.29,13.03085,30282.39353
37,Portugal,0.864,82.05,9.26347,33966.82756
38,Slovakia,0.86,77.54,12.69315651,32113.04569
39,Hungary,0.854,76.88,11.96329,31328.80599
40,Saudi Arabia,0.854,75.13,10.22517,47495.42697
41,Bahrain,0.852,77.29,9.5192,42521.70451
42,Chile,0.851,80.18,10.58295,23261.29726
43,Croatia,0.851,78.49,11.44932,28069.84837
44,Qatar,0.848,80.23,9.73144,92418.23036
45,Argentina,0.845,76.67,10.94060102,21190.17661
46,Brunei Darussalam,0.838,75.86,9.14,63965.09279
47,Montenegro,0.829,76.88,11.58926489,21399.24713
48,Romania,0.828,76.05,11.0708,29497.23164
49,Palau,0.826,73.93,12.49143,19316.97453
50,Kazakhstan,0.825,73.6,11.8949,22857.46082
51,Russian Federation,0.824,72.58,12.17244258,26157.04711
52,Belarus,0.823,74.79,12.30584324,18546.48713
53,Turkey,0.82,77.69,8.10682,27700.89481
54,Uruguay,0.817,77.91,8.92573,20063.64222
55,Bulgaria,0.816,75.05,11.36009,23324.6574
56,Panama,0.815,78.51,10.24,29557.66834
57,Bahamas,0.814,73.92,11.43692,33747.21264
58,Barbados,0.814,79.19,10.64244442,14935.90942
