,Land,IHDI,Inequality in life expectancy in%,Inequality in education in %,Inequality in income in %,Income Shares of top 1%,Income Shares of top 1%,GINI
0,Norway,0.899,3,2.3324,12.56175,21.6,9.3500003,27
1,Ireland,0.885,3.4,3.28604,14.97823,25.9,11.25,32.8
2,Switzerland,0.889,3.5,1.82879,14.93378,25.5,10.6,32.7
3,"Hong Kong, China (SAR)",0.824,2.5,9.8,25.6,NaN,NaN,NaN
4,Iceland,0.894,2.4,2.79474,11.73652,22.5,7.6399997,26.8
5,Germany,0.869,3.8,2.280957858,17.65562,24.6,12.530001,31.9
6,Sweden,0.882,2.9,3.68669,12.98707,22.3,9.0300001,28.8
7,Australia,0.867,3.7,2.7,17.3,27,9.0700001,34.4
8,Netherlands,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5
9,Denmark,0.883,3.6,2.90482,11.38334,24,10.71,28.7
10,Finland,0.888,3,2.23918,10.61751,22.6,10.14,27.4
11,Singapore,0.813,2.5,11,25,NaN,14.02,NaN
12,United Kingdom,0.856,4.1,2.73404,17.01375,26.8,12.61,34.8
13,Belgium,0.859,3.6,8.18013,11.38202,21.9,7.7699997,27.4
14,New Zealand,0.859,4.3,1.840131778,16.4,NaN,8.6599998,NaN
15,Canada,0.848,4.6,2.671,18.06,25.1,13.62,33.8
16,United States,0.808,6.3,2.753,27.144,30.5,20.52,41.4
17,Austria,0.857,3.7,2.91745,14.11727,23,9.2699997,29.7
18,Israel,0.814,3.3,5.656,23.689,27.7,NaN,39
19,Japan,0.843,2.9,4.656,16.663,26.4,10.44,32.9
20,Liechtenstein,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,Slovenia,0.875,2.9,2.12184,8.67573,20.4,7.6700002,24.2
22,Korea (Republic of),0.815,3,8.836,20.24,23.8,12.16,31.6
23,Luxembourg,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9
24,Spain,0.783,3,16.86947,19.46657,25.4,11.89,34.7
25,France,0.82,3.8,9.48623,13.49257,25.8,11.15,31.6
26,Czechia,0.86,3,1.38824,8.88405,21.5,10.05,24.9
27,Malta,0.823,4.6,6.18818,13.01089,23.3,11.4,29.2
28,Estonia,0.829,3.6,2.28057,14.78369,22.5,11.11,30.4
29,Italy,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9
30,United Arab Emirates,NaN,5.2,18.2,NaN,21.4,22.81,32.5
31,Greece,0.791,3.5,11.06794,17.80155,25.9,13.37,34.4
32,Cyprus,0.805,3.6,10.47803,13.21694,25.5,11.63,31.4
33,Lithuania,0.791,5.5,3.88094,20.57362,28.4,10.39,37.3
34,Poland,0.813,4.3,4.93736,13.47713,23.5,13.99,29.7
35,Andorra,NaN,NaN,10.00815435,NaN,NaN,NaN,NaN
36,Latvia,0.783,5.4,2.53011,19.5844,26.9,10.9,35.6
37,Portugal,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8
38,Slovakia,0.807,5,1.55613,11.67745,19.9,5.3300001,25.2
39,Hungary,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6
