,Land,Employment to population ratio,Employment in agriculture in % ,Employment in services in %,Unemployment in %,Child labour in %,Working poor at PPP$3.20 a day in %,High-skill to low-skill ratio
0,Norway,61.669,2.055,78.67,3.346,NaN,NaN,14.714633174679722
1,Ireland,59.008,4.619,76.679,4.928,NaN,NaN,5.115331814684629
2,Switzerland,65.126,2.949,76.845,4.581,NaN,NaN,9.78048850013031
3,"Hong Kong, China (SAR)",57.893,0.171,88.231,3.629,NaN,0.09,1.9268388106416277
4,Iceland,72.9,3.938,79.629,2.842,NaN,NaN,9.38532110091743
5,Germany,58.961,1.21,71.747,3.043,NaN,NaN,5.933671607065214
6,Sweden,60.381,1.648,80.444,6.476,NaN,NaN,11.805862682018285
7,Australia,62.067,2.56,77.635,5.268,NaN,NaN,5.779898839785169
8,Netherlands,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279
9,Denmark,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264
10,Finland,55.185,3.606,74.206,6.595,NaN,NaN,7.815652846766342
11,Singapore,67.64,0.726,83.802,4.109,NaN,0.066,8.017902813299232
12,United Kingdom,60.357,1.034,81.086,3.851,NaN,NaN,6.178970398749099
13,Belgium,50.569,0.961,78.194,5.589,NaN,NaN,4.80824755209641
14,New Zealand,67.063,5.663,74.757,4.069,NaN,NaN,NaN
15,Canada,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113
16,United States,59.765,1.34,78.853,3.682,NaN,NaN,4.848470802113159
17,Austria,57.848,3.581,71.163,4.674,NaN,NaN,5.099043038200444
18,Israel,61.569,0.924,82.084,3.861,NaN,NaN,9.377639511595042
19,Japan,60.312,3.423,72.307,2.291,NaN,NaN,3.4842105263157896
20,Liechtenstein,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,Slovenia,55.913,5.226,61.325,4.195,NaN,NaN,7.273825042881647
22,Korea (Republic of),60.358,4.879,69.994,4.148,NaN,0.048,3.0320366618432857
23,Luxembourg,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188
24,Spain,49.467,4.091,75.626,13.959,NaN,NaN,2.67737798007336
25,France,50.48,2.443,77.471,8.427,NaN,NaN,4.983705747766622
