,Land,Prison population per 100.000,Homocide rate per 100.000,Suicide rate (female) per 100.000,Suicide rate (male) per 100.000
0,Norway,79.8,0.468343712,6.5,13.6
1,Ireland,82.2,0.87160546,4.2,17.6
2,Switzerland,77.4,0.586468024,6.9,15.8
3,"Hong Kong, China (SAR)",111.7,0.651136341,NaN,NaN
4,Iceland,40.4,0.890969137,4.7,21.7
5,Germany,79.1,0.947976619,4.8,13.6
6,Sweden,61.3,1.083072677,7.4,15.8
7,Australia,172.6,0.891632403,6,17.4
8,Netherlands,65.9,0.58618159,6.4,12.9
9,Denmark,63.2,1.008321959,5.2,13.2
10,Finland,53.5,1.629671612,6.8,20.8
11,Singapore,207.8,0.156317765,4.9,11.1
12,United Kingdom,137.0831537,1.204914777,3.5,11.9
13,Belgium,87.7,1.690054215,9.4,22.2
14,New Zealand,206.2,0.744359509,6.2,17.3
15,Canada,107.7,1.755921136,5.8,15.1
16,United States,662.5,4.956950548,6.4,21.1
17,Austria,103.1,0.967228608,5.7,17.5
18,Israel,231.2,1.492021506,2.4,8.2
19,Japan,39.8,0.262574096,8.1,20.5
20,Liechtenstein,165.8,2.637269898,NaN,NaN
21,Slovenia,67.2,0.481269937,4.5,22.4
22,Korea (Republic of),105.9,0.603849393,11.6,29.6
23,Luxembourg,107.6,0.337886923,5.8,15
24,Spain,126.1,0.621079928,3.1,9.3
25,France,106.4,1.198636503,6.5,17.9
26,Czechia,202.3,0.620240593,4.2,17.2
27,Malta,141,1.593607358,2.8,10.3
28,Estonia,195.3,2.116541299,4.4,25.6
29,Italy,100.8,0.569050661,2.6,8.4
30,United Arab Emirates,106.6,0.463782488,0.8,3.5
31,Greece,101.3,0.940863945,1.5,6.1
32,Cyprus,52.1,1.261286411,1.9,7.2
33,Lithuania,231.5,4.569356042,6.7,47.5
34,Poland,192,0.7304547,3.4,23.9
35,Andorra,63.6,0,NaN,NaN
36,Latvia,182.7,4.355804966,5.1,31
37,Portugal,127,0.789766806,3.8,14.3
38,Slovakia,188.8,1.136985269,2.6,18.4
39,Hungary,174.6,2.487198635,6.2,22.2
40,Saudi Arabia,205.6,1.265815787,1.7,4.6
41,Bahrain,233.3,0.523923468,2.1,7.9
42,Chile,245.5,4.404894484,3.8,16
43,Croatia,77.4,0.577421797,5.1,18.8
44,Qatar,46.8,0.365972376,1.1,7.3
45,Argentina,194.1,5.324478739,3.5,15
46,Brunei Darussalam,136.1,0.494542721,2.8,6.2
47,Montenegro,179.1,2.229998901,3.6,12.6
48,Romania,106.6,1.281649699,2.4,13.9
49,Palau,422.2,11.16632237,NaN,NaN
50,Kazakhstan,201,5.06083427,7.7,40.1
51,Russian Federation,386.4,8.209475626,7.5,48.3
52,Belarus,344.4,2.39087279,6.2,39.3
53,Turkey,321.6,2.590475672,3.2,11.3
54,Uruguay,297,12.06045302,7.1,26.8
55,Bulgaria,94.3,1.304666594,3.2,13.1
56,Panama,396.5,9.385022462,1.2,7.6
57,Bahamas,460.6,31.95817147,0.5,2.8
58,Barbados,296.2,9.768350544,0.3,0.8
59,Oman,NaN,0.269180342,0.9,4.8
60,Georgia,239.2,2.223362494,1.9,12.3
61,Costa Rica,287.4,11.2612545,2.3,12.8
62,Malaysia,178.1,2.127665134,3.6,8.7
63,Kuwait,147.9,NaN,1.7,2.5
64,Serbia,156.4,1.226890579,5.2,17.3
65,Mauritius,193.1,2.919860099,2.2,12.5
66,Seychelles,393.8,12.53774383,2.1,15
67,Trinidad and Tobago,287.7,30.64950684,4.3,21.9
68,Albania,184.4,2.289492444,4.3,7
69,Cuba,NaN,5.046268637,4.1,16.4
70,Iran (Islamic Republic of),293.4,2.499168375,3.1,4.9
71,Sri Lanka,97.5,2.421243634,6.2,23.3
72,Bosnia and Herzegovina,84.1,1.17331026,2.5,10.6
73,Grenada,414.4,10.82309649,1,2.1
74,Mexico,155.6,29.07106163,2.3,8.2
75,Saint Kitts and Nevis,423.1,NaN,NaN,NaN
76,Ukraine,128.3,6.183730571,4.7,34.5
77,Antigua and Barbuda,317.7,NaN,0.9,0
78,Peru,284.3,7.909223863,2.7,7.6
79,Thailand,527.6,2.582003648,4.8,21.4
80,Armenia,76.8,1.693915557,2,10.1
81,North Macedonia,108.3,1.200216807,3,9.7
82,Colombia,234.6,25.3438026,2.8,11.5
83,Brazil,344.2,27.38253029,2.8,9.7
84,China,110.4,0.527090789,8.3,7.9
85,Ecuador,219.5,5.800627346,3.8,10.7
86,Saint Lucia,291.2,21.4415306,2.1,12.7
87,Azerbaijan,219.7,2.201107449,1,4.3
88,Dominican Republic,245.4,10.04973395,3.2,17.9
89,Moldova (Republic of),172.5,4.096792902,3.8,24.1
90,Algeria,149.2,1.364276397,1.8,4.9
91,Lebanon,92.3,2.492926503,2.2,4.2
92,Fiji,209.4,2.308277367,2.5,8.8
93,Dominica,267.6,26.58830115,NaN,NaN
94,Maldives,373.4,0.721861826,1.6,3.6
95,Tunisia,194.6,NaN,2.2,4.4
96,Saint Vincent and the Grenadines,426.4,36.54069263,0.9,3.9
97,Suriname,192,5.433820449,10.9,36.1
98,Mongolia,151.5,6.182547929,3.8,23.3
99,Botswana,197,NaN,5.7,18.3
100,Jamaica,132,43.85228153,0.9,3.2
101,Jordan,160.4,1.359106628,2.7,4.7
102,Paraguay,210.3,7.144839995,6.2,12.3
103,Tonga,174.3,NaN,2.9,5.2
104,Libya,97.2,NaN,2.3,8.7
105,Uzbekistan,144.3,1.135802775,4.6,10.3
106,Bolivia (Plurinational State of),160.3,6.218374444,8.9,16.9
107,Indonesia,95.7,0.434534589,2.2,5.2
108,Philippines,182.5,6.464988165,2.3,5.2
