,Land,HDI,Life expactancy at birth in years,Mean years of schooling in years,Gross national income (GNI) per capita in US$,IHDI,Inequality in life expectancy in%,Inequality in education in %,Inequality in income in %,Income Shares of top 1%,Income Shares of top 1%,GINI,Gender Inequality Index,Maternal mortality ratio per 100.000,Share of female seats in parliament in %,Employment to population ratio,Employment in agriculture in % ,Employment in services in %,Unemployment in %,Child labour in %,Working poor at PPP$3.20 a day in %,High-skill to low-skill ratio,Prison population per 100.000,Homocide rate per 100.000,Suicide rate (female) per 100.000,Suicide rate (male) per 100.000,Internet User in %,Mobile phone subscriptions per 100 people
0,Norway,0.957,82.4,12.89775,66494.25217,0.899,3,2.3324,12.56175,21.6,9.3500003,27,0.045,2,40.82840237,61.669,2.055,78.67,3.346,NaN,NaN,14.714633174679722,79.8,0.468343712,6.5,13.6,96.4917,107.174
1,Ireland,0.955,82.31,12.6663305,68370.58737,0.885,3.4,3.28604,14.97823,25.9,11.25,32.8,0.093,5,24.31192661,59.008,4.619,76.679,4.928,NaN,NaN,5.115331814684629,82.2,0.87160546,4.2,17.6,84.5223,103.171
2,Switzerland,0.955,83.78,13.38081241,69393.52076,0.889,3.5,1.82879,14.93378,25.5,10.6,32.7,0.025,5,38.61788618,65.126,2.949,76.845,4.581,NaN,NaN,9.78048850013031,77.4,0.586468024,6.9,15.8,89.6861,129.609
3,"Hong Kong, China (SAR)",0.949,84.86,12.27996,62984.76553,0.824,2.5,9.8,25.6,NaN,NaN,NaN,NaN,NaN,NaN,57.893,0.171,88.231,3.629,NaN,0.09,1.9268388106416277,111.7,0.651136341,NaN,NaN,89.4159,259.426
4,Iceland,0.949,82.99,12.77278684,54682.38057,0.894,2.4,2.79474,11.73652,22.5,7.6399997,26.8,0.058,4,38.0952381,72.9,3.938,79.629,2.842,NaN,NaN,9.38532110091743,40.4,0.890969137,4.7,21.7,99.011,126.137
5,Germany,0.947,81.33,14.15168,55314.35355,0.869,3.8,2.280957858,17.65562,24.6,12.530001,31.9,0.084,7,31.61953728,58.961,1.21,71.747,3.043,NaN,NaN,5.933671607065214,79.1,0.947976619,4.8,13.6,89.7391,129.324
6,Sweden,0.945,82.8,12.54847,54507.80504,0.882,2.9,3.68669,12.98707,22.3,9.0300001,28.8,0.039,4,47.27793696,60.381,1.648,80.444,6.476,NaN,NaN,11.805862682018285,61.3,1.083072677,7.4,15.8,92.1417,125.12
7,Australia,0.944,83.44,12.72469119,48084.84207,0.867,3.7,2.7,17.3,27,9.0700001,34.4,0.097,6,36.56387665,62.067,2.56,77.635,5.268,NaN,NaN,5.779898839785169,172.6,0.891632403,6,17.4,86.545,113.579
8,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
9,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
